review_profilename,beer_beerid,beer_name,beer_abv,beer_style,review_overall,review_aroma,review_appearance,review_palate,review_taste
Billolick,289,Brewer's Brown Ale,5.4,English Brown Ale,4.0,3.5,3.0,4.0,4.0
depechemode1983,1445,Anchor Old Foghorn,8.2,English Barleywine,4.5,4.5,3.5,4.5,4.5
Jason,3072,Sea Dog Raspberry Wheat Ale,4.5,Fruit / Vegetable Beer,3.0,3.0,4.0,3.0,3.0
jpm30,21789,Moylans Dragoons Dry Irish Stout,5.0,Irish Dry Stout,4.5,4.5,4.0,4.5,4.0
altgeeky1,4083,Stone Ruination IPA,7.7,American Double / Imperial IPA,4.0,4.5,5.0,5.0,5.0
KTCamm,8297,Samuel Adams White Ale,5.2,Witbier,3.0,2.5,3.0,3.0,3.5
mntlover,754,Guinness Draught,4.2,Irish Dry Stout,3.0,3.0,4.0,3.5,3.0
weeare138,4072,Salvation,9.0,Belgian Strong Pale Ale,4.0,4.0,4.0,4.0,4.0
freshskweezer,36731,Black Dog Ale,5.2,American Amber / Red Ale,2.0,3.0,3.0,1.0,2.0
dreadnatty08,384,Penn Gold,4.0,Munich Helles Lager,4.0,3.0,2.5,4.0,3.0
Domingo,1005,HopDevil Ale,6.7,American IPA,4.0,4.0,4.5,4.0,4.5
champ103,54470,Saint Arnold Divine Reserve #9,11.0,American Double / Imperial Stout,4.5,5.0,4.0,5.0,4.0
BuckeyeNation,67,14'ER ESB,5.13,Extra Special / Strong Bitter (ESB),4.0,3.5,4.0,3.5,3.5
RJay,56054,Down 'N Dirty Chocolate Oatmeal Stout,6.3,Oatmeal Stout,4.0,4.0,4.5,3.5,3.5
WilliamPhilaPa,308,Harpoon ESB,5.5,Extra Special / Strong Bitter (ESB),4.0,4.0,4.0,4.0,4.0
gmcfarre,5490,Dark Horse One Oatmeal Stout Ale,8.0,Oatmeal Stout,4.0,3.5,4.0,4.0,4.5
MasterSki,13826,Cantillon Lou Pepe - Gueuze,5.0,Gueuze,4.5,4.5,4.0,4.5,4.5
Billolick,11845,Willimantic Anytown USA A.S.B.,4.9,Extra Special / Strong Bitter (ESB),4.5,4.0,4.0,4.0,4.5
nkersten,63619,Love (Blackberry Whiskey Barrel Aged),6.0,American Wild Ale,5.0,4.5,4.0,4.0,4.5
TheLongBeachBum,8951,Oaked Arrogant Bastard Ale,7.2,American Strong Ale,5.0,4.5,4.5,4.5,5.0
caddybuyer,31941,Hoptimus Prime,9.0,American Double / Imperial IPA,3.0,3.5,4.0,3.0,3.0
cpone,22227,Supplication,7.0,American Wild Ale,4.5,5.0,4.5,5.0,5.0
sabrills70,17,Widmer Hefeweizen,4.9,American Pale Wheat Ale,3.5,3.5,3.5,3.5,3.5
Vengeance526,32631,Brooklyn Summer Ale,5.0,English Pale Ale,4.5,3.0,3.5,4.0,3.5
txbrew81,4083,Stone Ruination IPA,7.7,American Double / Imperial IPA,4.0,4.5,4.0,4.5,4.5
lagrin,12322,Mojo IPA,7.2,American IPA,4.0,3.5,3.0,3.5,4.0
assurbanipaul,1621,Stoudt's Weizen,4.9,Hefeweizen,4.0,3.5,3.5,3.5,3.5
mfgeorge,67346,MacLean's Pale Ale,5.2,English Pale Ale,4.5,4.5,4.5,4.0,4.5
xxxninjacorexxx,293,Old Thumper ESA,5.9,Extra Special / Strong Bitter (ESB),3.5,3.0,3.5,3.5,2.5
Verecund,68548,Armand'4 Oude Geuze Lente (Spring),6.0,Gueuze,4.5,4.5,4.0,4.5,4.5
TheBierBand,19960,Founders KBS (Kentucky Breakfast Stout),11.2,American Double / Imperial Stout,4.0,4.5,4.5,5.0,4.5
Floydster,22257,Maracaibo Especial,7.5,American Brown Ale,4.0,4.5,4.0,3.5,3.5
gkunkle,37112,Le Merle,7.9,Saison / Farmhouse Ale,3.5,4.5,4.0,4.0,4.0
aggiearcher13,1552,Shiner Hefeweizen,5.4,Hefeweizen,3.0,3.0,3.0,3.0,3.0
Gaisgeil,30541,Farmer's Tan,5.0,American Brown Ale,4.5,4.0,3.5,4.0,4.5
Jwale73,54106,Teddy Bear Kisses,10.2,Russian Imperial Stout,4.0,3.5,4.0,3.5,3.5
sacfly,34968,Snapperhead IPA,6.8,American IPA,3.0,3.0,2.5,3.5,3.0
glid02,17112,Bell's Hopslam Ale,10.0,American Double / Imperial IPA,4.5,5.0,4.5,4.5,4.5
perrymarcus,32413,The Angel's Share - Bourbon Barrel-Aged,12.5,American Strong Ale,4.0,5.0,4.0,4.0,4.5
benclimbs,60064,Samuel Adams Revolutionary Rye Ale,5.5,Rye Beer,3.5,3.5,3.0,3.0,3.0
Tballz420,92,Arrogant Bastard Ale,7.2,American Strong Ale,3.5,4.0,4.5,4.0,4.5
BEERchitect,29688,Cascade Single Hop IPA,6.8,American IPA,4.0,4.0,4.0,4.0,4.0
AlexJ,1010,Prima Pils,5.3,German Pilsener,4.5,4.5,4.0,4.0,4.0
gtermi,33639,Cocoa Porter Winter Warmer,5.7,American Porter,3.0,3.5,3.5,3.5,2.5
tai4ji2x,28751,Porkslap Pale Ale,4.3,American Pale Ale (APA),4.0,3.5,4.5,3.0,3.0
BanditTA,1689,Edison Light Beer,4.0,Light Lager,2.0,2.0,1.5,2.5,2.0
mentor,3656,Lips Of Faith - Grand Cru Abbey Ale,9.5,Belgian Strong Dark Ale,4.0,4.5,4.0,4.5,4.0
atis,50324,Br&#257;lis Gaiais Nefiltr&#275;ts Alus (Br&#257;lis Pale Unfiltered Beer),5.3,Euro Pale Lager,3.5,4.0,4.0,4.0,3.5
Wisconsin,10193,That's What I'm Talkin' 'Bout Rolled Oat Stout,6.0,Oatmeal Stout,2.0,3.5,4.0,2.0,3.0
augustgarage,49831,"Saison De Lente, 100% Brett",6.5,Saison / Farmhouse Ale,4.0,3.5,3.5,3.0,4.0
WJVII,60420,Sierra Nevada Tumbler Autumn Brown Ale,5.5,American Brown Ale,3.5,3.5,3.5,3.5,4.0
JMD,47507,Blue Point Rastafa Rye Ale,7.5,Rye Beer,4.0,3.5,4.0,4.0,4.0
spicelab,71080,Mash Up New Zealand Collaboration Ale 2011,6.0,American Pale Ale (APA),3.5,3.5,3.5,3.0,3.5
BobbyBeerman,31748,Bière De Mars,6.5,Bière de Garde,4.5,4.5,4.0,4.5,4.5
yesyouam,1402,La Trappe Quadrupel (Koningshoeven / Dominus),10.0,Quadrupel (Quad),4.0,4.0,5.0,3.0,4.5
ommegangpbr,36056,Moo Thunder Stout,4.9,Milk / Sweet Stout,4.0,3.5,3.5,3.5,4.0
illidurit,8632,Drake's Blonde Ale,4.8,Kölsch,4.0,3.5,3.0,3.5,3.5
csmiley,14314,Porter,7.0,English Porter,4.0,4.5,4.0,4.0,4.5
mlermontov,3280,Schneider Weisse Original,5.4,Hefeweizen,5.0,4.0,4.5,4.5,4.5
CHSLBrew,5758,Oktoberfest Lager Beer,5.7,Märzen / Oktoberfest,4.5,3.5,3.0,3.5,4.0
Daniell,305,Spitfire (Premium Ale Export),4.5,English Pale Ale,2.0,2.0,3.5,3.5,2.5
depechemode1983,65383,Spring Ale Dortmunder Style,5.5,Dortmunder / Export Lager,4.0,3.5,3.5,4.0,3.5
BarrytheBear,2093,90 Minute IPA,9.0,American Double / Imperial IPA,3.0,3.5,4.0,3.5,3.5
Vancer,913,Murphy's Irish Red Beer,5.0,Irish Red Ale,4.0,3.5,4.0,3.0,3.0
Rutager,26547,Bowen Island Lager,5.0,American Adjunct Lager,2.5,2.5,3.0,3.0,2.5
bonkers,1505,Michigan Brewing High Seas India Pale Ale,7.2,American IPA,4.0,3.5,4.0,4.0,4.0
hwwty4,4695,Baltika #7 Export,5.4,Dortmunder / Export Lager,2.5,2.5,3.5,2.5,2.5
auxiliary,27282,Christmas Cranberry Ale,6.8,American Amber / Red Ale,4.5,4.0,2.5,4.0,4.0
indiapaleale,39190,Cobra-Hood IPA,7.8,American IPA,4.0,4.5,4.0,4.0,4.5
jimdkc,2778,Kilgubbin Red Ale,4.5,Irish Red Ale,3.5,3.5,4.0,3.5,3.5
RblWthACoz,30632,Tripel Nova,9.9,Tripel,4.0,4.0,3.5,4.0,4.5
jokelahoma,18689,Olde Yeller IPA,7.2,American Double / Imperial IPA,3.0,3.0,4.5,3.5,2.5
BeerZack,2093,90 Minute IPA,9.0,American Double / Imperial IPA,4.0,4.0,4.0,4.0,3.5
Knapp85,1611,Warsteiner Premium Dunkel,4.9,Munich Dunkel Lager,3.5,3.0,3.0,3.5,3.5
Kolsch,2619,Tröegs Pale Ale,5.4,American Pale Ale (APA),4.0,3.0,4.0,3.5,4.0
beachbum1975,32413,The Angel's Share - Bourbon Barrel-Aged,12.5,American Strong Ale,3.5,5.0,4.5,3.5,4.5
WilliamPhilaPa,2412,Mahr's Ungespundet-hefetrüb,5.2,Keller Bier / Zwickel Bier,4.5,4.0,3.5,4.0,4.0
CPeterson,28203,Furious,6.2,American IPA,4.5,4.5,4.5,4.0,4.5
biggred1,17538,Founders Devil Dancer,12.0,American Double / Imperial IPA,4.0,4.0,4.0,4.0,4.0
nickhiller,1670,Indica India Pale Ale,6.5,American IPA,3.5,3.5,3.5,3.5,3.5
mjc410,626,La Trappe Dubbel (Koningshoeven / Dominus),7.0,Dubbel,3.5,3.5,3.5,4.5,4.0
NeroFiddled,25063,J.W. Lees Harvest Ale (Port Cask),11.5,English Barleywine,4.5,4.5,4.5,4.5,5.0
dbossman,62311,Black Moon IPA,10.0,American Black Ale,4.0,4.0,4.5,4.5,4.0
pratyk,68400,Latitude 48 Deconstructed IPA - Simcoe,6.0,American IPA,4.0,3.5,4.5,3.5,4.0
SethB2,18943,Mountain High IPA,7.0,American IPA,3.5,4.0,4.5,3.0,3.0
Vonerichs,53433,Unplugged Cranbic Ale,4.8,American Wild Ale,4.5,4.0,4.0,4.0,4.5
Gaisgeil,19186,Stone 8th Anniversary Ale,7.8,American Brown Ale,3.0,3.0,4.0,3.5,3.0
SShelly,1370,AleSmith X,5.0,American Pale Ale (APA),4.5,4.0,5.0,4.0,4.5
GDBEERMAN,1904,Sierra Nevada Celebration Ale,6.8,American IPA,4.0,4.0,4.0,4.0,4.0
laituegonflable,10147,Pikes Oakbank New Sparkling,4.9,Euro Pale Lager,3.0,3.0,3.0,3.5,3.5
skinny0ne,1495,Stegmaier Porter,5.4,American Porter,5.0,3.0,4.0,4.0,3.0
ThistleKing,1119,Redhook ESB,5.77,Extra Special / Strong Bitter (ESB),4.0,3.0,3.0,3.0,3.5
speter,2007,Christoffel Robertus,6.0,Munich Dunkel Lager,3.0,4.0,4.0,3.0,3.5
neenerzig,2209,Michelob Marzen,5.1,Märzen / Oktoberfest,3.5,3.0,4.0,3.5,3.5
scooter231,7988,'t Smisje BBBourgondier,12.0,Quadrupel (Quad),4.0,3.5,2.5,4.0,4.0
mdagnew,41007,Draft Bear,8.0,American Double / Imperial Pilsner,4.0,4.5,5.0,4.0,5.0
Radome,38427,Lectio Divina,8.0,Saison / Farmhouse Ale,4.0,4.0,3.5,4.0,4.0
NODAK,4394,Smuttynose Big A IPA (Big Beer Series),9.6,American Double / Imperial IPA,3.5,3.5,4.0,4.0,3.0
BretSikkink,2430,Foret,7.5,Saison / Farmhouse Ale,4.0,3.0,4.0,4.0,4.0
kwjd,12418,Church Key Northhumberland Ale,5.0,Cream Ale,2.5,3.0,4.0,3.5,2.5
DrJay,50242,Red Baron Ale,5.0,Irish Red Ale,3.5,4.0,3.5,4.0,3.5
meatyard,45558,Great Lakes Grassroots Ale,6.2,Saison / Farmhouse Ale,3.5,3.5,4.0,3.5,3.5
GossageBrewery,5655,Jumping Cow Amber Ale,5.5,American Amber / Red Ale,3.0,2.5,4.0,3.0,2.5
NYCWheatFanSC,34315,Cuvee De Tomme,11.0,American Wild Ale,4.5,4.5,4.0,4.5,5.0
UnionMade,56469,Dark Truth Stout,9.7,American Double / Imperial Stout,4.5,4.0,4.0,3.5,4.5
ktrillionaire,578,Thomas Hardy's Ale (1968-1999),11.7,Old Ale,4.0,5.0,4.5,4.0,3.5
Derek,62911,Fat Tug IPA,7.0,American IPA,4.5,4.5,4.5,4.5,4.5
Pegasus,43893,Polygamy Porter,4.0,American Porter,2.5,3.0,4.0,2.5,2.5
PopeJonPaul,904,Franziskaner Club-Weisse Kristalklar,5.0,Kristalweizen,3.0,3.5,3.0,3.0,3.0
Padron4KM,11167,Pig's Eye Pilsner,4.55,American Pale Lager,2.5,1.5,2.5,2.0,2.0
barefootbrewer,23459,Unplugged Enigma,5.5,Fruit / Vegetable Beer,3.5,4.0,3.0,3.5,4.0
Durge,59673,Monstre Rouge,8.5,Flanders Red Ale,3.5,4.5,4.0,4.5,4.5
HopDerek,7063,Stoudt's Winter Ale (2008-2009),5.5,American Porter,3.5,3.5,3.5,3.0,4.0
cjgator3,1590,Penn Oktoberfest,5.6,Märzen / Oktoberfest,3.5,3.0,3.5,3.5,3.0
ritzkiss,69502,Hawaiian Style Pale Ale,6.5,American IPA,4.0,3.5,4.0,3.5,4.5
Viggo,63,Anchor Steam Beer,4.9,California Common / Steam Beer,4.5,3.5,4.0,4.5,3.5
UncleJimbo,1252,Michelob Amber Bock,5.2,Bock,2.5,2.5,3.0,3.0,2.5
cooncat,37518,Mean Manalishi Double I.P.A.,8.2,American Double / Imperial IPA,4.0,4.0,4.5,4.0,4.0
robbtjones68,1256,Paulaner Hefe-Weissbier Naturtrüb,5.5,Hefeweizen,4.0,4.0,5.0,3.0,3.5
amstelcat,918,Foster's Lager,5.0,American Adjunct Lager,1.0,1.0,3.0,1.0,1.0
WesWes,4721,Spruce Ale,6.5,Scottish Gruit / Ancient Herbed Ale,4.0,4.0,3.5,3.0,3.5
Ralphs66,1331,Pabst Blue Ribbon (PBR),4.74,American Adjunct Lager,3.0,3.0,3.0,3.0,3.0
SkunkWorks,43341,Southampton Altbier,5.0,Altbier,4.0,3.0,4.0,3.5,3.5
OtherShoe2,156,Piraat Ale,10.5,Belgian IPA,4.5,3.0,4.0,4.5,4.5
rwdkosak,55732,Bell's Batch 9000,12.5,American Strong Ale,3.5,5.0,4.5,4.5,5.0
FloppyDog,6239,Utica Club,3.7,American Adjunct Lager,3.0,2.5,3.0,4.0,3.0
JohnfromDublin,58394,Helvick Gold,4.9,American Blonde Ale,4.0,3.5,4.0,4.5,4.0
bjohnson,1548,Otter Creek Oktoberfest,4.8,American Amber / Red Ale,4.5,4.0,3.5,4.0,4.0
BMoney575,65683,Collababeire Special Holiday Ale,9.0,Herbed / Spiced Beer,3.5,3.5,4.0,3.5,3.5
hoplover82,53167,DuganA IPA,8.5,American Double / Imperial IPA,4.0,4.5,5.0,4.5,4.0
ClockworkOrange,33336,Atwater Vanilla Java Porter,6.0,American Porter,2.5,2.5,3.0,2.5,2.5
Jredner,2886,Northwind Imperial Stout,9.1,Russian Imperial Stout,3.5,3.0,3.0,3.5,3.0
fsu1824,1276,Coors,5.0,American Adjunct Lager,4.5,2.0,2.0,2.5,3.5
optimator13,6373,Highland Black Mocha Stout,5.6,American Stout,4.0,3.0,4.0,4.5,4.0
crockdaddy,6889,Hop Monster,9.5,American Double / Imperial IPA,3.5,5.0,4.0,4.0,3.5
WinstonSmith,590,La Trappe Blond (Koningshoeven / Dominus),6.5,Belgian Pale Ale,3.5,3.0,3.0,3.0,3.0
Thorpe429,76851,Triticum Lupulus,5.0,American Pale Wheat Ale,3.5,3.5,4.0,4.0,3.5
mrasskicktastic,2758,Sinebrychoff Porter,7.2,Baltic Porter,3.5,4.0,3.5,3.5,4.0
robwestcott,66055,Ackerman's Imperial Double Stout (Indiana Replicale 2011),8.0,American Double / Imperial Stout,4.0,3.5,4.0,3.5,3.5
billshmeinke,16655,Allagash FOUR,10.0,Quadrupel (Quad),4.0,4.0,4.0,4.5,4.0
Gusler,2888,Spanish Peaks Black Dog Ale,5.2,American Pale Ale (APA),3.0,3.0,3.0,3.0,3.0
xgabe,37477,Sierra Nevada Anniversary Ale (2007-2009),5.9,American IPA,4.5,4.0,4.5,4.0,4.0
aepb1,62788,He'Brew Jewbelation Fourteen,14.0,American Strong Ale,4.0,3.0,4.5,3.0,4.5
jdklks,34315,Cuvee De Tomme,11.0,American Wild Ale,4.5,5.0,4.0,4.0,5.0
mooseisloose,50690,Liquid Sunshine,5.0,American Pale Wheat Ale,4.0,3.5,3.5,4.0,4.0
DrDemento456,1552,Shiner Hefeweizen,5.4,Hefeweizen,3.0,3.0,3.5,3.0,3.0
NeroFiddled,2015,Perseus Porter,5.39,American Porter,4.5,3.5,4.5,3.5,3.5
Mora2000,32435,Red & White,10.0,Witbier,4.0,4.0,4.0,4.0,4.0
froghop,47919,Warrior Single Hop IPA,6.9,American IPA,4.0,3.5,4.5,4.0,3.5
mikereaser,38519,Bloody Beer,8.5,Fruit / Vegetable Beer,4.0,4.0,3.5,4.0,4.0
whtguitarguy,30,Trois Pistoles,9.0,Belgian Strong Dark Ale,4.5,4.5,4.0,4.0,5.0
dasenebler,2512,Chimay Grande Réserve (Blue),9.0,Belgian Strong Dark Ale,4.0,4.0,4.0,4.0,5.0
happygnome,902,Saranac Caramel Porter,5.4,American Porter,3.0,2.5,4.0,3.5,2.5
ThaBobfather,1879,Samuel Adams Cream Stout,4.9,Milk / Sweet Stout,4.0,3.5,4.0,3.5,3.5
blakesell,59,Allagash White,5.2,Witbier,4.0,4.5,4.0,3.5,4.0
bpierce2,24071,Gonzo Imperial Porter,9.2,Baltic Porter,3.0,3.5,4.0,4.5,4.0
Daniellobo,47277,Allagash Confluence Ale,7.5,American Wild Ale,4.5,4.0,4.0,4.0,4.0
MasterSki,56852,Hurricane Saison,6.5,Saison / Farmhouse Ale,3.5,3.5,3.5,4.0,3.5
TheDM,30,Trois Pistoles,9.0,Belgian Strong Dark Ale,4.5,4.0,5.0,5.0,4.0
schemb,6258,Berkshire Oktoberfest Lager,6.8,Märzen / Oktoberfest,3.5,3.5,4.0,4.0,3.5
jpm30,4017,Arcadia London Porter,7.2,English Porter,4.0,3.5,4.0,4.0,4.0
studentofbeer,1256,Paulaner Hefe-Weissbier Naturtrüb,5.5,Hefeweizen,4.5,4.0,4.5,4.0,4.0
Crosling,16214,Rosie's Old Ale,14.0,Old Ale,5.0,4.0,4.0,5.0,4.5
homebrew311,2231,Brooklyn Monster Ale,10.8,English Barleywine,2.5,3.5,4.5,4.0,2.5
Derek,8402,Spinnakers Nut Brown Ale,5.2,English Brown Ale,4.0,3.5,4.0,4.0,3.0
Gambrinus1184,20335,Opa Opa IPA,6.0,American IPA,3.0,3.5,3.5,3.5,3.0
garbercury,773,Goudenband,8.0,Flanders Oud Bruin,4.5,4.0,4.0,4.0,5.0
counselor,146,Brooklyn Brown Ale,5.6,American Brown Ale,4.5,3.5,4.0,4.0,4.0
fdrich29,4168,Brother David's Belgian-style Double Ale,9.0,Dubbel,3.5,3.5,3.5,4.0,3.5
ChrisBowers,674,Westmalle Trappist Dubbel,7.0,Dubbel,4.5,5.0,4.5,4.5,5.0
ImperialScott,1942,Scotch Ale,7.0,Scotch Ale / Wee Heavy,3.0,3.0,4.0,3.0,3.0
assurbanipaul,821,St. Peter's English Ale,4.5,English Pale Ale,3.0,1.5,2.5,3.0,3.5
Gmann,567,Rolling Rock Extra Pale,4.6,American Adjunct Lager,3.0,1.5,1.5,2.0,2.0
BeerBelcher,44479,White Storm,11.0,Cream Ale,2.0,1.5,4.0,2.0,2.0
TasteTester,1003,Golden Monkey,9.5,Tripel,3.5,4.0,3.5,3.5,4.0
theghost3,27945,Flensburger Gold,4.8,Dortmunder / Export Lager,3.0,2.5,3.5,3.5,3.0
snaotheus,56613,Wilco Tango Foxtrot,7.83,American Strong Ale,4.5,4.0,4.0,4.0,4.0
tconboy,808,Weihenstephaner Hefeweissbier Dunkel,5.3,Dunkelweizen,5.0,4.0,4.5,4.5,4.5
chaz410,412,Old Rasputin Russian Imperial Stout,9.0,Russian Imperial Stout,4.0,3.5,4.5,5.0,4.0
baos,717,Downtown Brown,5.0,English Brown Ale,4.0,3.5,3.5,3.0,3.5
tempest,60780,Lima,6.3,American Black Ale,3.0,3.5,4.0,2.5,3.0
ecoastman,2512,Chimay Grande Réserve (Blue),9.0,Belgian Strong Dark Ale,4.5,4.5,4.5,5.0,5.0
HopDerek,31941,Hoptimus Prime,9.0,American Double / Imperial IPA,4.5,3.5,4.0,4.0,4.0
avalon07,44706,400 Pound Monkey,6.7,English India Pale Ale (IPA),3.5,4.0,3.5,4.0,3.5
TexIndy,8951,Oaked Arrogant Bastard Ale,7.2,American Strong Ale,3.5,4.0,4.5,3.5,3.5
rohrbachsfan,13637,Harvest Ale,6.7,Extra Special / Strong Bitter (ESB),4.0,5.0,4.0,4.0,4.0
williamherbert,3343,Wachusett Nut Brown Ale,5.2,English Brown Ale,3.0,4.0,3.5,3.5,3.0
mmn531,25061,J.W. Lees Harvest Ale (Lagavulin Whisky Cask),11.5,English Barleywine,4.0,4.5,4.0,3.0,4.0
TKEbeerman,47695,Barrel Aged B.O.R.I.S. Oatmeal Imperial Stout,9.4,Russian Imperial Stout,4.5,4.0,5.0,4.5,4.5
rootbeerman,3558,Sierra Nevada Summerfest Lager,5.0,Czech Pilsener,4.5,3.5,3.5,3.5,4.0
bulldogsturge,56973,Shakespeare Oatmeal Stout,6.1,Oatmeal Stout,4.5,4.0,5.0,4.5,5.0
BigMike,49789,A Little Sumpin' Sumpin' Ale,7.5,American Pale Wheat Ale,4.0,4.0,4.0,4.0,3.5
ebraun,73,Young's Double Chocolate Stout,5.2,Milk / Sweet Stout,4.0,4.0,4.5,3.5,4.0
Pegasus,2249,In-Heat Wheat,4.7,Hefeweizen,3.5,3.5,4.0,3.0,3.5
HopHead84,48387,Exit 4,9.7,Tripel,3.5,3.5,4.0,3.5,3.5
firedog23,916,Lagunitas IPA,6.2,American IPA,4.0,4.5,4.0,4.0,4.5
BeerLover99,40936,Dirty Old Man Imperial Rye Porter,7.9,American Porter,4.0,4.0,4.0,4.0,4.5
baggio,204,Old Scratch Amber Lager,5.5,California Common / Steam Beer,4.0,3.0,4.0,4.0,3.5
joemcgrath27,3280,Schneider Weisse Original,5.4,Hefeweizen,4.0,4.0,4.0,4.0,4.0
drpimento,14735,Solstice D'hiver,9.8,American Barleywine,3.0,4.5,4.0,4.0,4.5
danielplainview,2512,Chimay Grande Réserve (Blue),9.0,Belgian Strong Dark Ale,3.0,3.5,4.0,3.0,3.5
ADR,4106,Gouden Carolus Classic,8.5,Belgian Strong Dark Ale,4.5,3.5,4.0,4.0,4.5
Floydster,6549,Northern Hemisphere Harvest Wet Hop Ale,6.7,American IPA,4.5,4.0,4.5,4.5,4.5
ngeunit1,33143,Wet Maximus,7.5,American Double / Imperial IPA,4.5,5.0,4.0,4.0,5.0
lacqueredmouse,69375,Epic Hop Zombie,8.5,American Double / Imperial IPA,5.0,4.5,4.0,4.5,4.0
Arbitrator,60675,Unplugged Abt,9.75,Quadrupel (Quad),3.0,3.5,3.0,2.0,3.5
gmfessen,16403,"Smuttynose IPA ""Finest Kind""",6.9,American IPA,4.0,4.5,3.5,5.0,4.0
cooch69,3566,Lindemans Gueuze,4.0,Gueuze,3.5,4.0,4.0,4.0,3.5
dbalsock,5703,Black Marlin Porter,6.0,American Porter,3.5,4.0,5.0,3.5,3.5
rtepiak,41972,Imperial Coffee Stout,8.0,Russian Imperial Stout,4.0,4.5,4.5,4.0,4.0
SwillBilly,779,Weihenstephaner Korbinian,7.4,Doppelbock,4.5,4.5,4.5,4.0,4.5
Wildman,1892,Tennent's Super Strong Lager,9.0,Euro Strong Lager,4.0,3.0,3.0,3.0,3.0
Radome,60226,Broken Promise,5.3,English Pale Ale,4.0,4.0,4.0,4.0,4.0
Dukeofearl,1861,James Squire Amber Ale,5.0,English Brown Ale,4.0,4.0,4.0,3.0,3.5
Deuane,40953,Nelson Sauvin IPA,7.0,American IPA,5.0,4.5,4.0,4.0,5.0
Airedoggie,1093,Two Hearted Ale,7.0,American IPA,4.0,4.0,4.0,4.0,4.0
tehawful,63224,Blue Moon Winter Abbey Ale,5.6,Dubbel,4.0,2.0,2.5,3.5,3.0
dyan,705,J.W. Lees Vintage Harvest Ale,11.5,English Barleywine,5.0,4.5,4.5,5.0,4.5
IntriqKen,37340,Sun Of Spot (Brewmaster Reserve 2007),6.0,American IPA,4.0,5.0,4.0,4.0,4.0
ocelot2500,10,Allagash Dubbel Ale,7.0,Dubbel,4.0,3.5,4.0,4.0,3.5
DAllspaw,2751,Racer 5 India Pale Ale,7.0,American IPA,4.0,4.5,4.5,4.0,5.0
jdhilt,19425,The Kaiser,10.03,Märzen / Oktoberfest,4.0,4.0,5.0,4.0,4.0
Atlas1,37774,Schneider-Brooklyner Hopfen-Weisse,8.2,Weizenbock,4.0,4.5,4.0,4.0,4.5
Doomcifer,1879,Samuel Adams Cream Stout,4.9,Milk / Sweet Stout,5.0,4.5,4.5,4.5,4.5
enfield249,39334,Big Eddy Russian Imperial Stout,9.5,Russian Imperial Stout,4.0,3.5,4.0,3.5,3.5
titosupertramp,67106,Ovila Abbey Dubbel,7.5,Dubbel,4.0,4.0,4.0,4.0,4.0
Dogbrick,7999,Inseine,4.2,American Pale Ale (APA),3.0,3.5,3.5,3.0,3.0
TheManiacalOne,2906,Butte Creek Organic India Pale Ale,6.7,American IPA,3.5,3.5,3.5,4.0,3.5
ecoastman,8205,Mill Street Original Organic Lager,4.2,American Pale Lager,4.0,2.5,3.0,4.0,3.5
mnj21655,296,Jinx,6.9,Scotch Ale / Wee Heavy,3.5,3.5,4.0,3.5,3.5
dirtylou,6157,New Holland Black Tulip Trippel Ale,9.0,Tripel,3.5,3.5,4.5,3.5,3.5
olmatty,39296,Oatis,7.2,Oatmeal Stout,4.0,4.0,4.0,4.0,4.0
BeerVikingSailor,55183,Saranac Irish Stout,5.5,Irish Dry Stout,4.0,4.0,4.0,4.0,4.5
TheDM,995,Mai Bock,6.0,Maibock / Helles Bock,3.0,2.0,3.0,3.0,3.0
climax,5675,Hefeweizen,5.0,Hefeweizen,3.0,3.0,3.0,3.0,3.0
NEhophead,45697,Joshua Norton Imperial Stout,9.3,Russian Imperial Stout,4.0,4.5,4.0,4.5,4.0
ChainGangGuy,28157,Braumeister Pils - Saaz,5.7,Czech Pilsener,3.5,3.5,4.0,4.0,3.5
oberon,47098,Shiner 100 Commemorator,6.7,Doppelbock,4.5,3.5,4.0,3.5,3.5
shirfan,35207,Smuttynose Hanami Ale,5.7,Fruit / Vegetable Beer,4.0,4.0,3.5,4.0,4.5
rye726,598,Lindemans Pêche,4.0,Lambic - Fruit,4.0,3.5,4.0,4.0,3.5
tastybeer,599,Lindemans Framboise,2.5,Lambic - Fruit,3.5,4.0,4.5,4.0,4.0
hoppymcgee,40491,Veritas 003,8.0,American Wild Ale,4.0,5.0,4.0,4.0,4.5
maxpower,20600,Édition 2005,10.0,Belgian Strong Dark Ale,4.0,4.0,4.0,4.0,4.5
Derek,38859,Stratford Bohemian Pilsner,4.7,Czech Pilsener,4.0,4.0,2.5,3.5,3.0
augustgarage,38676,Mill Race Mild,3.5,English Dark Mild Ale,4.0,3.5,4.5,4.0,4.0
RblWthACoz,17497,Hop Sun (Summer Wheat Beer),5.1,American Pale Wheat Ale,4.0,4.0,3.5,4.0,4.0
goblue3509,52510,Monk's Blood,8.3,Belgian Strong Dark Ale,3.0,4.5,4.0,3.5,3.0
mooseo,31,Blanche De Chambly,5.0,Witbier,3.5,3.5,3.0,3.5,4.0
Shiloh,42,Dark Ale,5.0,English Brown Ale,2.5,2.5,3.0,2.5,3.0
manahansf,6590,Hazed & Infused,4.85,American Pale Ale (APA),4.0,4.0,4.5,4.0,4.5
bamadog,15,Wild Goose Snow Goose Winter Ale,6.3,Winter Warmer,4.0,3.0,4.0,3.5,3.5
