review_profilename,beer_beerid,beer_name,beer_abv,beer_style,review_overall,review_aroma,review_appearance,review_palate,review_taste,km_labels
Toddv29424,868,Gösser,5.2,Euro Pale Lager,2.5,2.5,2.0,3.0,3.5,9
mithrascruor,1321,Modelo Especial,4.4,American Adjunct Lager,2.0,2.0,2.5,2.0,2.0,2
uustal,313,Harpoon Octoberfest Beer,5.5,Märzen / Oktoberfest,3.5,3.0,4.0,4.0,3.5,0
faernt,991,Autumnal Fire,7.8,Doppelbock,4.5,4.0,4.5,4.5,4.5,1
jrallen34,7531,Tröegs Mad Elf,11.0,Belgian Strong Dark Ale,4.0,4.5,4.0,4.0,4.0,5
byteme94,1444,Bell's Expedition Stout,10.5,Russian Imperial Stout,4.0,4.0,3.5,4.0,4.0,5
Brad007,47140,Otter Creek Russian Imperial Stout,10.6,Russian Imperial Stout,5.0,5.0,5.0,5.0,5.0,1
BeerHonky,20907,Santa's Butt,6.0,English Porter,4.0,3.0,4.0,3.5,3.5,7
twelvsies,62464,De Dolle Oerbier Special Reserva 2009 (Bottled 2010),13.0,Flanders Oud Bruin,4.5,4.5,4.0,4.0,4.5,3
joshstevens87,20807,Chocolate Stout,5.3,American Stout,4.0,4.0,4.0,3.0,3.5,0
jsp2,3439,Moylander Double IPA,8.5,American Double / Imperial IPA,4.0,4.5,4.0,4.0,4.5,3
kurtissellen,2512,Chimay Grande Réserve (Blue),9.0,Belgian Strong Dark Ale,4.5,4.0,4.0,4.0,3.0,5
Jason,1157,Honker's Ale,4.2,English Bitter,4.0,3.5,4.5,3.5,4.0,7
BretSikkink,32413,The Angel's Share - Bourbon Barrel-Aged,12.5,American Strong Ale,3.5,4.0,4.0,3.5,4.0,5
hrking,48464,Bell's Bourbon Barrel Aged Double Cream Stout,10.0,American Double / Imperial Stout,5.0,4.0,4.0,4.5,5.0,1
drumrboy22,66302,Dihos Dactylion,10.3,American Wild Ale,4.5,4.5,4.0,4.0,4.0,3
Matthew,34420,The Abyss,11.0,American Double / Imperial Stout,4.5,4.5,4.5,4.5,4.0,1
gmfessen,2081,Winter Solstice Seasonal Ale,6.9,Winter Warmer,4.0,4.0,4.5,4.0,4.5,10
rjimlad,12305,Adnams Broadside Strong Original,6.3,English Strong Ale,4.0,3.0,4.0,4.0,4.0,7
philbe311,5948,Terrapin Rye Pale Ale,5.3,American Pale Ale (APA),4.5,3.5,4.0,4.0,3.5,7
nataku00,11757,Founders Breakfast Stout,8.3,American Double / Imperial Stout,4.5,4.5,4.5,5.0,4.5,1
FickleBeast,59056,Brainless Belgian Golden Ale,8.3,Belgian Strong Pale Ale,4.0,4.0,3.5,4.0,4.0,5
Doodler,16814,Heady Topper,8.0,American Double / Imperial IPA,4.5,4.0,4.0,5.0,5.0,1
SaCkErZ9,33449,Our Special Ale 2006 (Anchor Christmas Ale),5.5,Winter Warmer,3.5,4.0,4.0,3.0,3.0,0
daliandragon,366,Rockies Fall Fest Amber Ale,5.13,American Amber / Red Ale,4.0,3.5,4.0,3.5,4.0,7
natelocc787,37774,Schneider-Brooklyner Hopfen-Weisse,8.2,Weizenbock,2.5,3.0,4.0,4.0,3.0,0
morbiddrumer,1213,Doggie Style Classic Pale Ale,5.5,American Pale Ale (APA),3.5,3.5,3.5,3.5,3.5,0
Derek,2469,Abbaye Des Rocs [Brasserie Des Rocs Brune],9.0,Belgian Strong Dark Ale,4.5,5.0,4.0,4.5,5.0,1
AgentZero,71908,Throwback Campfire Smoked Porter,6.4,American Porter,3.5,3.5,4.0,3.5,3.5,0
Bierman9,2519,Marin India Pale Ale,7.0,American IPA,4.5,4.0,4.5,4.5,4.5,1
devinoconnor,272,Harvest,4.6,American Brown Ale,4.0,2.5,4.0,3.0,2.5,4
spaceranger,582,Spaten Oktoberfestbier Ur-Märzen,5.9,Märzen / Oktoberfest,4.0,3.0,3.5,3.5,4.0,6
mrmanning,722,St. Bernardus Tripel,8.0,Tripel,3.5,3.5,3.5,4.0,4.0,6
peabody,63989,Bell's Batch 10000,9.2,American Strong Ale,4.0,4.0,4.0,4.0,4.0,5
ccrida,7864,Grimbergen Blonde,6.7,Belgian Pale Ale,4.0,3.0,3.0,4.0,3.5,6
mintjellie,32926,Heavy Weizen (Imperial Unfiltered Wheat Ale),8.0,Hefeweizen,4.0,4.0,4.0,4.0,4.0,5
doughanson78,60832,Rumble IPA,7.1,American IPA,3.5,4.0,3.5,3.5,3.5,0
TheBierBand,103,Samuel Adams Summer Ale,5.3,American Pale Wheat Ale,5.0,4.0,4.0,4.0,3.5,3
EVLguy,1630,Geary's Hampshire Special Ale,7.0,English Strong Ale,2.5,2.5,3.5,4.5,3.5,0
rye726,48139,Mama's Little Yella Pils,5.3,Czech Pilsener,3.0,2.5,3.0,2.5,2.0,9
cwps48,43738,Krampus (Imperial Helles Lager),9.0,American Double / Imperial Pilsner,4.0,3.5,4.0,3.5,4.0,7
zeff80,25414,Caldera Pale Ale,5.5,American Pale Ale (APA),4.0,3.5,3.5,4.0,4.5,7
Gavage,54089,Life & Limb,10.2,American Strong Ale,3.5,4.0,4.0,4.5,4.5,3
NorCalYeti,22273,Drake's Denogginizer,9.75,American Double / Imperial IPA,4.0,4.0,4.5,4.0,4.0,10
MrKsBeer,12322,Mojo IPA,7.2,American IPA,4.0,4.5,3.5,4.5,4.0,3
biegaman,5454,Mort Subite Kriek,4.5,Lambic - Fruit,3.0,4.0,4.0,3.0,3.5,0
afksports,1117,Bell's Kalamazoo Stout,6.0,American Stout,4.0,4.0,4.0,4.0,4.0,5
allboutbierge,14170,Vetter's 33°,13.2,Doppelbock,2.5,4.0,4.5,4.5,2.5,0
cokes,68399,Latitude 48 Deconstructed IPA - Ahtanum,6.0,American IPA,3.5,2.5,4.5,3.5,3.5,0
Thorpe429,54134,Frosted Frog Christmas Ale,8.6,Winter Warmer,1.0,2.5,3.5,1.5,1.0,2
atsprings,5948,Terrapin Rye Pale Ale,5.3,American Pale Ale (APA),4.0,4.5,3.5,4.0,4.0,5
jettjon,18199,Insanity,11.1,English Barleywine,4.5,4.0,4.0,4.5,4.0,3
cjgator3,20500,John Barleycorn Barleywine Ale,11.0,American Barleywine,2.5,3.5,4.0,3.5,2.5,8
dqrull,3842,Trappistes Rochefort 6,7.5,Belgian Strong Dark Ale,4.5,4.0,3.5,4.5,4.0,3
Monkeyknife,26073,Wild Ride IPA,6.0,American IPA,4.0,4.5,4.0,4.0,4.5,3
MrIce,63613,Chocolate Porter,5.5,Baltic Porter,4.5,4.5,4.0,4.0,4.5,3
oval,8624,Old Godfather Barley Wine-Style Ale,10.2,American Barleywine,4.0,4.0,4.0,4.0,4.5,3
AmericanGothic,65674,Koppi Coffee IPA,6.9,American IPA,4.5,4.0,4.5,4.0,4.5,10
Reidrover,576,Samuel Smith's Nut Brown Ale,5.0,English Brown Ale,5.0,4.0,4.5,4.0,4.5,1
jmdrpi,36195,Terrapin Hop Karma IPA,6.0,American Brown Ale,3.5,4.0,4.0,3.0,4.0,0
msfoster77,47152,Terrapin Monk's Revenge,9.6,Belgian IPA,4.0,5.0,4.0,4.5,4.5,3
Jdiddy,57819,Seattle Beer Week 2010 DIPA,8.3,American Double / Imperial IPA,5.0,5.0,5.0,5.0,5.0,1
kahjdfh,47364,Samuel Adams Blackberry Witbier,5.5,Witbier,3.0,4.0,3.5,4.0,4.0,5
wl0307,23376,Melton Red,4.3,English Bitter,4.0,4.0,4.5,3.5,4.0,10
JohnGSO,26667,Smuttynose Winter Ale,5.1,Dubbel,4.0,4.0,3.5,3.5,4.0,5
Phelps,71654,The Stoic,11.0,Quadrupel (Quad),4.0,4.0,2.5,4.0,4.0,6
Natural510,28536,Circus Boy,4.4,American Pale Wheat Ale,4.0,4.0,3.5,4.0,4.0,5
Halcyondays,57811,Lambic #2,5.0,American Wild Ale,4.0,3.5,3.0,3.5,3.5,6
hophead247,2512,Chimay Grande Réserve (Blue),9.0,Belgian Strong Dark Ale,4.0,4.0,4.0,4.0,4.5,3
FreshHawk,388,Paulaner Original Münchner,4.9,Munich Helles Lager,4.5,3.5,3.5,3.0,3.5,6
Metalmonk,27800,Vanilla Porter,4.7,American Porter,4.0,3.5,4.0,4.5,4.0,7
BadBadger,178,Strike Out Stout,4.6,English Stout,4.0,4.0,4.0,3.5,4.0,5
korguy123,57908,2XIPA,8.2,American Double / Imperial IPA,4.5,4.5,4.0,4.0,4.0,3
tmoneyba,62253,Silva Stout,10.1,American Double / Imperial Stout,4.5,4.5,4.0,4.5,4.5,3
Phattony,13896,Great Lakes Oktoberfest,6.5,Märzen / Oktoberfest,4.5,4.0,3.5,4.0,4.5,3
cswhitehorse,48953,Acai Berry Wheat,4.0,Fruit / Vegetable Beer,4.0,4.0,4.0,4.0,4.0,5
glid02,21300,Samuel Adams Black Lager,4.9,Schwarzbier,4.0,3.5,3.5,3.5,3.5,6
Sixpoint,38094,Toronado 20th Anniversary Ale,10.43,American Wild Ale,5.0,4.5,4.0,4.0,5.0,1
Kromes,646,Westmalle Trappist Tripel,9.5,Tripel,4.5,4.5,4.5,4.0,4.5,1
genog,20781,21st Amendment IPA,7.0,American IPA,4.0,4.0,4.5,3.5,4.0,10
matjack85,4083,Stone Ruination IPA,7.7,American Double / Imperial IPA,4.5,4.0,3.5,4.5,4.5,3
Schwarzbart,706,Tetley's English Ale,3.6,English Pale Ale,4.0,4.0,3.5,4.0,4.0,5
connecticutpoet,1658,Big Bear Black Stout,8.1,American Double / Imperial Stout,4.5,4.5,4.5,4.5,4.5,1
tvault,53886,Terrapin Hopsecutioner,7.3,American IPA,4.0,4.0,4.0,4.5,4.0,3
Kegatron,37331,Bengal Gold India Pale Ale,6.5,American IPA,2.5,3.0,4.0,3.0,3.0,8
maltlikker,35625,Weihenstephaner Vitus,7.7,Weizenbock,3.5,4.5,4.0,4.5,4.0,5
Rumrunner,776,Samichlaus Bier,14.0,Doppelbock,3.0,3.5,3.0,3.0,3.5,4
SubpoenaDeuces,14218,Sünner Kölsch,5.4,Kölsch,3.0,2.0,3.0,2.5,2.5,9
OtherShoe2,666,Hacker-Pschorr Dunkle Weisse,5.3,Dunkelweizen,4.5,4.0,4.0,4.5,4.0,3
AlexJ,37477,Sierra Nevada Anniversary Ale (2007-2009),5.9,American IPA,5.0,4.0,4.0,4.0,4.0,3
karst,1496,Grimbergen Dubbel,6.5,Dubbel,4.0,3.5,4.0,3.5,3.5,0
hosehead83,833,Samuel Adams Pale Ale,5.25,English Pale Ale,3.5,3.0,3.0,3.5,4.0,6
bishopdc0,34034,Conductor Imperial India Pale Ale,8.5,American Double / Imperial IPA,4.0,4.0,4.0,4.0,4.0,5
ckollias,9873,Hi.P.A.,6.7,American IPA,4.0,4.0,4.5,4.0,4.5,10
Zorro,35328,Brooklyn Local 1,9.0,Belgian Strong Pale Ale,5.0,4.0,4.5,4.0,4.5,1
bens0n,5488,Wells Banana Bread Beer,5.2,Fruit / Vegetable Beer,4.0,3.0,3.0,3.0,3.0,4
Mjones15,10672,Bourbon County Brand Stout,14.5,American Double / Imperial Stout,5.0,5.0,5.0,5.0,5.0,1
CraftBeerTastic,52855,Raging Bitch Belgian-Style IPA,8.3,Belgian IPA,4.0,3.5,4.5,3.5,3.5,0
geexploitation,4083,Stone Ruination IPA,7.7,American Double / Imperial IPA,4.5,4.5,4.5,5.0,4.0,1
aracauna,4199,Grog,5.25,English Brown Ale,4.0,2.5,4.0,3.0,3.5,6
Redwood21,34968,Snapperhead IPA,6.8,American IPA,4.0,3.5,3.5,3.5,4.0,6
Reanimator,808,Weihenstephaner Hefeweissbier Dunkel,5.3,Dunkelweizen,5.0,4.5,4.5,4.5,4.5,1
StoutmanMiller,99,Spaten Optimator,7.6,Doppelbock,4.0,3.5,4.0,4.5,4.5,7
kennyo,88,Stone IPA (India Pale Ale),6.9,American IPA,4.5,4.5,4.0,4.5,4.5,3
pmlondrigan,66716,Brooklyn Main Engine Start,6.2,Belgian Pale Ale,4.5,3.5,3.5,4.0,4.0,7
phisig137,21363,Allagash Odyssey,10.3,Belgian Strong Dark Ale,3.0,4.5,4.5,4.0,4.5,10
Haybeerman,52319,Lat 44,6.0,American IPA,4.0,3.5,3.5,3.0,2.5,4
vandemonian,34085,Green Flash Imperial India Pale Ale,9.4,American Double / Imperial IPA,4.0,4.0,4.5,4.5,3.5,10
Braseltonage,34850,CoCoNut Porter,5.7,American Porter,4.0,5.0,3.5,3.5,4.0,5
FightingEntropy,45552,Fresh Hop Mirror Pond,5.0,American Pale Ale (APA),3.0,3.5,3.5,3.0,2.5,4
DoubleJ,52615,Pumpkin Ale,6.0,Pumpkin Ale,3.5,3.5,4.0,4.0,3.5,0
Elemental,3711,Censored,6.75,American Amber / Red Ale,4.0,4.0,4.0,3.5,4.5,5
onix1agr,57869,Til Via Fra (To Via From),8.0,Baltic Porter,4.0,4.5,4.0,4.5,4.5,3
wl0307,40084,Shepherd Neame Christmas Ale (vintage 2007),7.0,Winter Warmer,3.5,3.5,4.0,3.5,3.5,0
ElijahCSkuggs,48933,UFO White,4.8,Witbier,4.0,3.5,3.5,3.5,4.0,6
GeezLynn,5592,Cold Smoke Scotch Ale,6.5,Scotch Ale / Wee Heavy,4.5,4.0,4.0,4.0,4.0,3
WeedKing4,8951,Oaked Arrogant Bastard Ale,7.2,American Strong Ale,4.5,4.0,4.0,4.5,4.5,3
bigdonniebrasco,645,Trappistes Rochefort 10,11.3,Quadrupel (Quad),4.5,4.5,4.0,4.5,4.5,3
Gusler,2467,Frambozenbier,4.0,Fruit / Vegetable Beer,4.5,4.5,4.0,3.5,4.5,3
tburkhart,16471,Heavy Seas - Small Craft Warning (Über Pils),7.25,American Double / Imperial Pilsner,4.0,4.5,4.0,4.0,4.5,3
Gilgemesh,15881,Tröegs Nugget Nectar,7.5,American Amber / Red Ale,4.0,4.0,4.5,5.0,4.5,1
TheFightfan1,129,Orval Trappist Ale,6.9,Belgian Pale Ale,4.0,4.0,4.5,3.0,4.0,10
FtownThrowDown,48505,Victory At Sea Coffee Vanilla Imperial Porter,10.0,American Porter,4.0,5.0,4.0,3.5,4.0,5
david18,42878,Trade Winds Tripel,8.1,Tripel,4.0,4.0,4.5,4.0,4.0,10
goldbot,224,Schneider Aventinus,8.2,Weizenbock,4.5,4.0,4.0,4.0,4.5,3
Jason,406,ACME California Pale Ale,5.0,American Pale Ale (APA),3.5,3.5,4.0,3.5,4.0,0
Dogbrick,20060,Brewhouse Blonde,4.7,Kölsch,3.0,3.0,3.0,3.0,2.5,9
BeerImmediately,4773,Baladin Nora,6.8,Herbed / Spiced Beer,4.0,4.0,3.0,4.5,3.5,6
KarlHungus,48715,Bare Tree Weiss Wine Vintage 2008,11.5,Wheatwine,3.0,4.0,3.0,3.0,3.5,4
ElGuapo,186,Smuttynose Shoals Pale Ale,5.4,American Pale Ale (APA),3.5,3.5,3.5,3.5,3.5,0
cgentzkow,31587,R.J. King Wingwalker Pale Ale,5.4,American Pale Ale (APA),2.0,2.0,3.0,2.0,2.0,2
beergeek279,6088,Highland Oatmeal Porter,5.8,American Porter,4.0,4.0,4.0,4.0,4.0,5
match1112,50697,Double Jack,9.5,American Double / Imperial IPA,4.5,4.0,4.5,4.5,4.0,10
tjd112,449,Stella Artois,5.0,Euro Pale Lager,1.5,1.0,3.0,2.0,1.0,2
Riggo,1543,Sawtooth Ale,5.3,Extra Special / Strong Bitter (ESB),4.5,4.0,4.0,4.0,4.5,3
TasteTester,43687,Creme Brulee (Imperial Milk Stout),9.6,American Double / Imperial Stout,4.5,4.0,4.0,4.0,4.5,3
BuckeyeNation,2147,Winterbraun,6.8,English Brown Ale,4.0,4.0,4.0,3.5,4.0,5
AndyAvalanche,41268,Wet Willy Scotch Ale,10.0,Scotch Ale / Wee Heavy,4.0,4.0,4.5,4.5,4.5,10
BeerZack,910,Abbot Ale,5.0,English Pale Ale,3.0,3.0,3.5,3.0,3.0,4
alexAK,1047,India Pale Ale,6.35,American IPA,4.0,3.5,4.5,4.0,3.5,7
RoyalT,3833,AleSmith Speedway Stout,12.0,American Double / Imperial Stout,4.5,4.5,5.0,4.5,4.5,1
MrOH,67332,Longshot Honey B's Lavender Ale,5.5,Herbed / Spiced Beer,3.5,5.0,4.0,3.0,3.0,0
sound67,2731,Young's Waggledance Honey Ale,5.0,English Pale Ale,3.0,2.0,3.0,3.0,2.5,9
ffejherb,41558,Newbold IPA,6.5,American IPA,3.5,3.0,4.0,3.5,3.5,0
pjwilson,19257,Andelot Cuvee Angelique,7.0,Dubbel,3.0,2.5,2.0,2.5,2.5,9
SiphonKing,35720,Festina Pêche,4.5,Berliner Weissbier,3.0,2.5,3.0,1.5,3.0,9
Dope,58695,Hop In The Dark Cascadian Dark Ale,6.9,American Black Ale,4.0,4.5,4.5,4.0,4.0,10
tigg924,6756,Newport Storm Regenschauer Oktoberfest,5.3,Märzen / Oktoberfest,4.5,3.0,3.0,4.0,4.5,6
Sigmund,46952,Christoffel Nobel,8.7,Euro Strong Lager,3.5,3.5,4.0,3.5,3.5,0
lightindarkness,56761,30th Anniversary - Fritz And Ken's Ale,9.2,American Double / Imperial Stout,4.5,4.0,5.0,5.0,4.5,1
Natural510,916,Lagunitas IPA,6.2,American IPA,4.0,4.0,3.5,4.0,4.0,5
BuckeyeNation,20881,Jubelfestbier,4.9,Schwarzbier,4.0,3.5,4.5,3.5,3.5,0
GDBEERMAN,141,Hennepin (Farmhouse Saison),7.7,Saison / Farmhouse Ale,5.0,4.5,4.5,4.5,4.5,1
Swill5786,104,Samuel Adams Boston Lager,4.9,Vienna Lager,3.0,3.5,3.0,3.0,3.5,4
cheers2beers,1421,Delirium Nocturnum,8.5,Belgian Strong Dark Ale,4.0,3.5,3.5,4.0,4.0,7
tigg924,2355,Leinenkugel's Red,4.9,Vienna Lager,3.0,4.0,4.0,3.0,3.0,0
ChrisBowers,321,Saranac Black Forest,5.5,Schwarzbier,4.0,4.0,3.5,3.5,4.0,5
yoko,34,La Fin Du Monde,9.0,Tripel,3.5,4.0,4.0,3.5,4.0,5
Derek,2710,Black Oak Pale Ale,5.0,American Pale Ale (APA),5.0,4.0,4.5,4.5,4.5,1
david18,46983,Saison De Lente,6.5,Saison / Farmhouse Ale,4.0,4.0,4.0,4.5,4.0,3
coasterfreak75,2209,Michelob Marzen,5.1,Märzen / Oktoberfest,2.0,3.0,3.0,3.0,1.5,8
vande,48420,Imperial Porter (Brewmaster Reserve),7.5,American Porter,4.0,3.5,4.0,4.0,4.0,7
ChristianBlack,39236,HopArt IPA,7.7,American IPA,4.0,4.0,3.0,3.5,3.5,6
rhoadsrage,35425,Grossvater Erlbecker Amber Lager,5.0,Munich Helles Lager,3.5,3.5,4.0,4.0,4.0,7
StoneBrewFanatic,46987,Beer Geek Brunch Weasel,10.9,American Double / Imperial Stout,4.5,4.0,4.5,4.5,5.0,1
ElGordo,3349,Golden Pheasant,5.0,Czech Pilsener,4.0,2.5,3.5,3.0,3.5,6
stcules,27572,EleganT Winterprinses,8.5,Belgian Strong Dark Ale,2.0,2.0,3.0,2.0,2.0,2
beertaster13,56973,Shakespeare Oatmeal Stout,6.1,Oatmeal Stout,4.0,4.0,5.0,4.0,4.0,10
sgoodship,9353,Great Lakes Holy Moses,5.4,Witbier,4.0,4.0,3.5,4.0,4.0,5
WJVII,28203,Furious,6.2,American IPA,5.0,5.0,4.5,4.5,4.5,1
xpimptastikx,51722,HORALs Oude Geuze Mega Blend,7.0,Gueuze,4.5,4.0,4.0,4.0,4.0,3
Treebs,42189,Glacial Trail IPA,5.5,American IPA,3.0,3.0,4.5,2.0,2.0,8
connecticutpoet,92,Arrogant Bastard Ale,7.2,American Strong Ale,4.0,4.5,4.0,4.5,4.5,3
paco1029384756,55081,Ranger,6.5,American IPA,4.5,4.0,4.5,3.5,3.5,10
Durge,92,Arrogant Bastard Ale,7.2,American Strong Ale,4.0,3.5,4.0,4.0,4.0,7
HopHead84,54192,Imperial Eclipse Stout - Jack Daniels,10.0,American Double / Imperial Stout,3.5,4.0,4.0,4.0,3.5,0
Px2GrafX,279,Sierra Nevada Porter,5.6,American Porter,4.5,3.5,4.0,4.5,3.5,7
rajendra82,3827,Hoppy Trails IPA,6.0,American IPA,4.0,4.0,4.0,3.5,3.5,5
shadow1961,6343,New Holland Sundog Amber Ale,5.25,American Amber / Red Ale,3.5,4.0,3.5,3.5,3.5,0
dyan,56396,Four,10.0,Milk / Sweet Stout,4.0,4.5,4.0,4.5,4.0,3
Bitterbill,266,Kingfisher Premium Lager,4.8,American Pale Lager,2.5,2.0,3.0,2.5,2.0,9
crossovert,3962,Big Bear Malt Liquor,7.5,American Malt Liquor,2.0,1.5,3.0,1.5,1.5,2
PatronWizard,47228,Iniquity (Imperial Black Ale),9.0,American Black Ale,3.5,3.5,4.0,3.5,3.5,0
ccrida,46416,Fa La La La La,7.6,Winter Warmer,4.5,5.0,4.0,4.0,4.5,3
Schwarz04,36468,Cold Hop British-Style Ale,6.8,English India Pale Ale (IPA),4.0,4.0,4.0,4.0,4.5,3
GeoffFromSJ,2137,Leffe Blonde,6.6,Belgian Pale Ale,4.0,4.5,4.0,4.0,4.0,5
chinchill,28565,Sea Hag IPA,6.2,American IPA,4.5,4.0,4.0,3.5,4.5,3
blackie,30174,Allagash Victoria Ale,9.0,Belgian Strong Pale Ale,3.5,4.0,4.0,3.5,3.5,0
theboozecruise,30538,Mothership Wit (Organic Wheat Beer),4.8,Witbier,4.0,4.0,5.0,3.5,4.0,10
aforbes10,20478,Founders Harvest Ale,6.5,American IPA,4.0,4.5,4.5,4.5,4.5,1
AdamBear,71758,Samuel Adams Bonfire Rauchbier,5.7,Rauchbier,4.5,4.5,4.0,4.5,4.0,3
bnes09,29388,Barley WIne,11.0,American Barleywine,3.0,3.5,3.0,3.5,3.0,4
NStLincoln,6715,Budweiser Budvar,5.0,Czech Pilsener,4.0,2.0,3.5,3.5,3.5,6
TMoney2591,56567,Old Chicago Amber,4.5,American Amber / Red Ale,4.0,3.5,3.5,3.5,4.0,6
daledeee,656,Tripel Karmeliet,8.4,Tripel,5.0,4.0,5.0,4.5,4.0,1
BlackHaddock,36881,Brune Du Brasseur,6.4,Flanders Oud Bruin,3.0,3.0,4.0,3.0,3.0,4
DrDemento456,22381,Dark Horse Double Crooked Tree IPA,13.6,American Double / Imperial IPA,3.5,3.5,3.5,3.5,3.0,0
sprinkle,2093,90 Minute IPA,9.0,American Double / Imperial IPA,4.0,4.0,4.0,4.0,4.5,3
shapudding,1579,Olde GnarlyWine,10.6,American Barleywine,4.0,5.0,4.5,5.0,5.0,1
BWMKappaSig,6,Turbodog,5.6,English Brown Ale,4.0,4.0,3.5,3.5,4.0,5
Reaper16,2403,Bell's Special Double Cream Stout,6.1,American Stout,4.5,4.0,3.5,4.0,4.0,3
MTNboy,32543,Michelob Bavarian Style Wheat,5.2,Hefeweizen,3.0,3.0,3.0,2.5,2.5,9
rayjay,49995,Pulga Pale Ale,5.4,American Pale Ale (APA),3.5,3.0,3.5,3.5,3.0,4
porntipsguzzardo,355,Dead Guy Ale,6.5,Maibock / Helles Bock,4.5,4.0,3.5,4.0,4.5,3
Bighuge,7978,Fantôme Saison D'Erezée - Hiver,8.0,Saison / Farmhouse Ale,4.5,4.5,4.0,4.5,4.5,3
BigMike,41558,Newbold IPA,6.5,American IPA,4.0,4.0,3.5,3.5,3.5,5
AgentMunky,3763,Paulaner Hefe-Weissbier Dunkel,5.3,Dunkelweizen,4.5,3.0,4.0,3.5,3.5,7
Lothore,760,Weihenstephaner Kristallweissbier,5.4,Kristalweizen,4.0,4.0,4.0,4.0,4.0,5
KBoudreau66,22505,Green Flash West Coast I.P.A.,7.3,American IPA,4.5,4.0,4.0,4.0,4.5,3
Wasatch,36019,Cherry Luv,4.0,Flanders Red Ale,3.0,3.0,3.0,3.0,3.0,4
kbutler1,74131,Burton Ale,8.0,English Strong Ale,3.5,3.5,4.0,4.0,3.5,0
tikibeer,9951,Monarch White Beer,4.5,Witbier,4.0,3.5,3.5,3.5,4.0,6
johnmichaelsen,25489,# 100,10.0,American Barleywine,3.5,3.5,4.0,3.5,3.5,0
beveritt,2478,Petrus Gouden Tripel,7.5,Tripel,3.5,4.0,4.0,3.5,4.0,5
flagmantho,56475,Terra Saurus,5.5,Oatmeal Stout,4.0,3.5,3.5,3.5,4.0,6
riggser61,837,Coors Light,4.2,Light Lager,2.0,2.0,1.0,2.0,2.0,2
MikePenn,204,Old Scratch Amber Lager,5.5,California Common / Steam Beer,3.5,3.0,3.0,3.0,2.5,9
petemoss14,3995,Andechser Weissbier Hefetrüb,5.5,Hefeweizen,4.5,5.0,4.5,4.5,4.5,1
rtepiak,142,Ommegang (Abbey Ale),8.5,Dubbel,4.0,4.0,4.0,4.0,4.0,5
jiggahertz,43132,Smuttynose Star Island Single,5.1,Belgian Pale Ale,4.5,3.5,3.5,4.0,4.0,7
thesilverhand,672,Chimay Première (Red),7.0,Dubbel,4.0,4.5,4.0,4.5,4.0,3
beeragent,1173,Santa's Private Reserve Ale,6.0,American Amber / Red Ale,4.0,3.5,4.0,4.0,4.0,7
koopa,41839,Mayflower Porter,5.5,English Porter,4.0,4.0,4.5,4.0,4.0,10
BEERMILER12,62645,Lukcy 13asartd Ale,8.5,American Strong Ale,5.0,3.0,4.5,4.0,5.0,7
Revvy,1631,Augustijn Ale,8.0,Tripel,4.0,4.5,4.5,4.5,4.0,10
fsvan,51480,Brooklyn Sorachi Ace,7.6,Saison / Farmhouse Ale,3.5,4.0,4.0,4.5,3.5,5
BerkeleyBeerMan,30282,Brother Thelonious,9.4,Belgian Strong Dark Ale,3.0,3.5,4.0,3.0,3.5,0
beachbum1975,2671,Sierra Nevada Bigfoot Barleywine Style Ale,9.6,American Barleywine,4.5,4.0,5.0,4.0,4.5,10
mduncan,21723,Portsmouth Weizenbock,7.0,Weizenbock,4.0,4.0,4.0,4.0,3.5,5
Mistofminn,39908,Shock Top Belgian White,5.2,Witbier,4.5,3.0,4.0,3.0,3.0,0
birdypowder,45978,Certified Organic I.P.A.,7.2,English India Pale Ale (IPA),4.0,4.0,3.0,4.0,3.0,6
karros270,22505,Green Flash West Coast I.P.A.,7.3,American IPA,4.5,4.5,4.0,4.5,4.5,3
perrymarcus,650,Guinness Extra Stout (Original),6.0,Irish Dry Stout,3.5,3.0,4.5,3.5,3.5,0
bradleyseven,6108,60 Minute IPA,6.0,American IPA,4.5,4.5,4.0,4.0,4.5,3
weeare138,28039,Dark Horse Scotty Karate Scotch Ale,9.75,Scotch Ale / Wee Heavy,4.0,4.0,3.5,4.0,4.0,5
genog,38470,Stone Sublimely Self-Righteous Ale,8.7,American Black Ale,4.0,3.5,4.5,4.0,3.5,7
ikats,21007,Berkshire Springs Stock Ale,6.0,American Pale Ale (APA),3.5,4.0,4.0,2.5,2.5,4
DogFood11,19759,Tall Ship Amber Ale,4.6,American Amber / Red Ale,2.5,3.0,1.5,2.5,3.0,9
Marcus6679,1116,De Dolle Dulle Teve (Mad Bitch),10.0,Tripel,4.0,4.0,3.0,2.5,4.5,6
Kadonny,43687,Creme Brulee (Imperial Milk Stout),9.6,American Double / Imperial Stout,3.0,5.0,4.0,4.0,4.5,5
Crazy4LegMoose,49283,Red Brick Brown Ale,6.0,American Brown Ale,3.0,3.5,4.0,3.5,3.5,0
GimpyCane,760,Weihenstephaner Kristallweissbier,5.4,Kristalweizen,4.5,4.0,4.5,4.0,4.5,10
Stigs,48344,Friend Of An Irishman Stout,4.7,Irish Dry Stout,2.5,2.5,3.0,3.0,2.0,9
Spider889,1658,Big Bear Black Stout,8.1,American Double / Imperial Stout,3.0,4.0,3.0,3.5,4.0,6
Duhast500,47685,Blue Hills Xtra Pale Ale,5.25,American Pale Ale (APA),4.0,3.5,3.5,4.0,4.0,7
